model,method_name,method,seed,timestamp,filename,baseline_perplexity,baseline_latency,baseline_model_size_mb,baseline_total_params,baseline_nonzero_params,baseline_sparsity,baseline_weight_min,baseline_weight_max,baseline_weight_mean,baseline_weight_std,baseline_unique_weights,compressed_perplexity,compressed_latency,compressed_model_size_mb,compressed_total_params,compressed_nonzero_params,compressed_sparsity,compressed_weight_min,compressed_weight_max,compressed_weight_mean,compressed_weight_std,compressed_unique_weights,comparison_cosine_similarity,comparison_mse,diff_size,diff_perplexity,diff_latency,diff_total_params,diff_sparsity,diff_unique_weights
distilbert-base-uncased,pruning,"amount=0.3, permanent=true, type=l1_unstructured",505,2025-05-28 21:33:34,distilbert-base-uncased_505_20250528_213334.json,17.251522885732584,0.03557626485824585,255.5334243774414,66902016,66902016,0.0,-9.962942123413086,3.891517162322998,-0.013208027548361128,0.049930054721219225,15784,27.64224472191805,0.034681291580200196,255.5334243774414,66902016,46952604,0.297816737435682,-9.962942123413086,3.891517162322998,-0.012651424780172326,0.049676426679343924,15784,0.950126588344574,0.018057048320770264,0.0,-10.390721836185467,0.0008949732780456562,0,-0.297816737435682,0
distilbert-base-uncased,quantization,type=16,50,2025-05-28 19:54:16,distilbert-base-uncased_50_20250528_195416.json,17.251522885732584,0.03557626485824585,255.5334243774414,66902016,66902016,0.0,-9.962942123413086,3.891517162322998,-0.013208027548361128,0.049930054721219225,15784,17.249889595870023,0.041906943321228025,91.005859375,23844864,23844864,0.0,-1.095024824142456,3.891517162322998,-0.037288404115968496,0.05149787072437813,11358,1.0,6.347419923002917e-09,164.5275650024414,0.0016332898625606163,-0.006330678462982173,43057152,0.0,4426
distilbert-base-uncased,weight_sharing,"algorithm=uniform, layers=[], n_clusters=16",505,2025-05-28 20:27:48,distilbert-base-uncased_505_20250528_202748.json,17.251522885732584,0.03557626485824585,255.5334243774414,66902016,66902016,0.0,-9.962942123413086,3.891517162322998,-0.013208027548361128,0.049930054721219225,15784,372185.17705420754,0.03396621704101563,255.5334243774414,66902016,66902016,0.0,-9.962942123413086,3.891517162322998,-0.08266040030269352,0.08133944005469118,14276,0.019087273627519608,0.5286191701889038,0.0,-372167.9255313218,0.0016100478172302243,0,0.0,1508
distilbert-base-uncased,low_rank_factorization,"ff_ratio=0.97, min_ff_rank=128",50,2025-05-28 20:36:43,distilbert-base-uncased_50_20250528_203643.json,17.251522885732584,0.03557626485824585,255.5334243774414,66902016,66902016,0.0,-9.962942123413086,3.891517162322998,-0.013208027548361128,0.049930054721219225,15784,17.251522885732584,0.03485027551651001,255.5334243774414,66902016,66902016,0.0,-9.962942123413086,3.891517162322998,-0.013208027548361128,0.049930054721219225,15784,1.0,0.0,0.0,0.0,0.0007259893417358443,0,0.0,0
distilbert-base-uncased,quantization → weight_sharing,"type=16 → algorithm=kmeans, layers=[], n_clusters=64",505,2025-05-31 23:38:44,distilbert-base-uncased_505_20250531_233844.json,17.251522885732584,0.03557626485824585,255.5334243774414,66902016,66902016,0.0,-9.962942123413086,3.891517162322998,-0.013208027548361128,0.049930054721219225,15784,17.249889595870023,0.04248924732208252,91.005859375,23844864,23844864,0.0,-1.095024824142456,3.891517162322998,-0.037288404115968496,0.05149787072437813,11358,1.0,6.347419923002917e-09,164.5275650024414,0.0016332898625606163,-0.0069129824638366685,43057152,0.0,4426
distilbert-base-uncased,pruning → quantization,"amount=0.3, permanent=true, type=l1_unstructured → type=16",5,2025-05-31 22:22:24,distilbert-base-uncased_5_20250531_222224.json,17.251522885732584,0.03557626485824585,255.5334243774414,66902016,66902016,0.0,-9.962942123413086,3.891517162322998,-0.013208027548361128,0.049930054721219225,15784,27.640333367123937,0.043615448474884036,91.005859375,23844864,16812595,0.2947846326835576,-1.095024824142456,3.891517162322998,-0.03572663404780136,0.05195505017575723,11358,0.9501649737358093,0.01804366707801819,164.5275650024414,-10.388810481391353,-0.008039183616638183,43057152,-0.2947846326835576,4426
distilbert-base-uncased,weight_sharing → quantization,"algorithm=kmeans, layers=[], n_clusters=128 → type=16",5,2025-05-31 23:20:48,distilbert-base-uncased_5_20250531_232048.json,17.251522885732584,0.03557626485824585,255.5334243774414,66902016,66902016,0.0,-9.962942123413086,3.891517162322998,-0.013208027548361128,0.049930054721219225,15784,17.30618207711117,0.04216222763061524,91.005859375,23844864,23844864,0.0,-0.9487291574478149,3.891517162322998,-0.037287547782089626,0.0514920413137228,8395,0.9996352195739746,0.0001353907719021663,164.5275650024414,-0.05465919137858677,-0.0065859627723693845,43057152,0.0,7389
distilbert-base-uncased,quantization → pruning,"type=16 → amount=0.2, permanent=true, type=l1_unstructured",505,2025-05-31 22:31:10,distilbert-base-uncased_505_20250531_223110.json,17.251522885732584,0.03557626485824585,255.5334243774414,66902016,66902016,0.0,-9.962942123413086,3.891517162322998,-0.013208027548361128,0.049930054721219225,15784,17.249889595870023,0.04212732076644898,91.005859375,23844864,23844864,0.0,-1.095024824142456,3.891517162322998,-0.037288404115968496,0.05149787072437813,11358,1.0,6.347419923002917e-09,164.5275650024414,0.0016332898625606163,-0.006551055908203124,43057152,0.0,4426
distilbert-base-uncased,weight_sharing → pruning,"algorithm=kmeans, layers=[], n_clusters=128 → amount=0.1, permanent=true, type=l1_unstructured",5,2025-06-01 00:28:20,distilbert-base-uncased_5_20250601_002820.json,17.251522885732584,0.03557626485824585,255.5334243774414,66902016,66902016,0.0,-9.962942123413086,3.891517162322998,-0.013208027548361128,0.049930054721219225,15784,18.054475736324747,0.03421405076980591,255.5334243774414,66902016,60252216,0.0,-9.962942123413086,3.891517162322998,-0.013189125496281722,0.049914653954330604,14143,0.9989520907402039,0.0003880077274516225,0.0,-0.8029528505921633,0.0013622140884399433,0,0.0,1641
distilbert-base-uncased,weight_sharing,"algorithm=uniform, layers=[], n_clusters=128",5,2025-05-28 20:31:53,distilbert-base-uncased_5_20250528_203153.json,17.251522885732584,0.03557626485824585,255.5334243774414,66902016,66902016,0.0,-9.962942123413086,3.891517162322998,-0.013208027548361128,0.049930054721219225,15784,26.714658732594263,0.033925414085388184,255.5334243774414,66902016,66902016,0.0,-9.962942123413086,3.891517162322998,-0.02218409998928382,0.050764338631982396,14646,0.9809913635253906,0.006981685757637024,0.0,-9.463135846861679,0.001650850772857669,0,0.0,1138
distilbert-base-uncased,weight_sharing → quantization,"algorithm=kmeans, layers=[], n_clusters=32 → type=8",50,2025-05-31 22:36:26,distilbert-base-uncased_50_20250531_223626.json,17.251522885732584,0.03557626485824585,255.5334243774414,66902016,66902016,0.0,-9.962942123413086,3.891517162322998,-0.013208027548361128,0.049930054721219225,15784,26.723263219693376,0.020826914310455323,91.005859375,23844864,23844864,0.0,-0.9487291574478149,3.891517162322998,-0.03728612028185137,0.05142949698139565,8395,0.9158571362495422,0.031101370230317116,164.5275650024414,-9.471740333960792,0.01474935054779053,43057152,0.0,7389
distilbert-base-uncased,pruning,"amount=0.5, permanent=true, type=l1_unstructured",505,2025-05-28 21:35:05,distilbert-base-uncased_505_20250528_213505.json,17.251522885732584,0.03557626485824585,255.5334243774414,66902016,66902016,0.0,-9.962942123413086,3.891517162322998,-0.013208027548361128,0.049930054721219225,15784,1098.354429035945,0.03462301731109619,255.5334243774414,66902016,33652992,0.49636128877385904,-9.962942123413086,3.891517162322998,-0.010982255743127658,0.04856703571867287,15784,0.36269423365592957,0.1997632384300232,0.0,-1081.1029061502124,0.0009532475471496632,0,-0.49636128877385904,0
distilbert-base-uncased,weight_sharing → pruning,"algorithm=kmeans, layers=[], n_clusters=32 → amount=0.1, permanent=true, type=l1_unstructured",5,2025-05-31 23:42:56,distilbert-base-uncased_5_20250531_234256.json,17.251522885732584,0.03557626485824585,255.5334243774414,66902016,66902016,0.0,-9.962942123413086,3.891517162322998,-0.013208027548361128,0.049930054721219225,15784,20.79929786705373,0.033975999355316165,255.5334243774414,66902016,60252216,0.0,-9.962942123413086,3.891517162322998,-0.013156269206581249,0.049851947546026516,14143,0.9406169056892395,0.022217124700546265,0.0,-3.5477749813211474,0.0016002655029296875,0,0.0,1641
distilbert-base-uncased,pruning → weight_sharing,"amount=0.2, permanent=true, type=l1_unstructured → algorithm=kmeans, layers=[], n_clusters=32",5,2025-06-01 01:41:51,distilbert-base-uncased_5_20250601_014151.json,17.251522885732584,0.03557626485824585,255.5334243774414,66902016,66902016,0.0,-9.962942123413086,3.891517162322998,-0.013208027548361128,0.049930054721219225,15784,25.383448450280106,0.034198744297027586,255.5334243774414,66902016,66902016,0.0,-9.962942123413086,3.891517162322998,-0.013053015613813038,0.04979209702757417,14143,0.9283586144447327,0.025511980056762695,0.0,-8.131925564547522,0.0013775205612182664,0,0.0,1641
